Sentence,Sentiment,clean,stopped,lemma
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative,rt cash cow tlt still ha a rise rsi macd all thi bond buy is signal some bad move for the market spi uup,rt cash cow tlt still ha rise rsi macd thi bond buy signal bad move market spi uup,rt cash cow tlt still ha rise rsi macd thi bond buy signal bad move market spi uup
Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,negative,ramir made kroon mln loss last year the year befor the compani wa kroon in the black,ramir made kroon mln loss last year year befor compani wa kroon black,ramir made kroon million loss last year year befor compani wa kroon black
Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,positive,oper profit rose to mn from mn in the correspond period in,oper profit rose mn mn correspond period,oper profit rose million million correspond period
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",neutral,at the moment valio is not worri but if the ban continu for long it may becom quit a problem,moment valio worri ban continu long may becom quit problem,moment valio worri ban continu long may becom quit problem
Curators have divided their material into eight themes .,neutral,curat have divid their materi into eight theme,curat divid materi eight theme,curat divid materi eight theme
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,neutral,net sale for the period are expect to fall well below that of last year and the result after non recur item is expect to be in the red,net sale period expect fall well last year result non recur item expect red,net sale period expect fall well last year result non recur item expect red
"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .",negative,in the first half of the bank s oper profit fell to mn from mn while net interest incom increas to mn from mn in the first half of,first half bank oper profit fell mn mn net interest incom increas mn mn first half,first half bank oper profit fell million million net interest incom increas million million first half
$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,positive,tsla upgrad to buy argu w pt you d almost think after 100pt run in week thi would be the sell signal,tsla upgrad buy argu w pt almost think 100pt run week thi would sell signal,tsla upgrad buy argu w pt almost think 100pt run week thi would sell signal
Glencore chief blames rivals' overproduction for share price fall,negative,glencor chief blame rival overproduct for share price fall,glencor chief blame rival overproduct share price fall,glencor chief blame rival overproduct share price fall
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,the new plant is plan to have an electr gener capac of up to megawatt mw and the same heat gener capac,new plant plan electr gener capac up megawatt mw heat gener capac,new plant plan electr gener capac up megawatt mw heat gener capac
The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .,neutral,the compani said sharehold will be abl to vote on the agreement at an egm schedul for later thi month,compani said sharehold abl vote agreement egm schedul later thi month,compani said sharehold abl vote agreement egm schedul later thi month
"According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers .",positive,accord to schmardin nordea will most like tri to win custom over from other pension fund provid,accord schmardin nordea like tri win custom pension fund provid,accord schmardin nordea like tri win custom pension fund provid
"According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .",positive,accord to kesko the compani agre with the citi administr about leas of the build in it resettl and construct of a five star hotel hilton for room,accord kesko compani agre citi administr leas build resettl construct five star hotel hilton room,accord kesko compani agre citi administr lea build resettl construct five star hotel hilton room
"Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .",neutral,ahlstrom s employe serv custom via sale offic and product facil in more than countri on six contin,ahlstrom employe serv custom via sale offic product facil countri six contin,ahlstrom employe serv custom via sale offic product facil countri six contin
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,positive,fda approv astrazeneca s iressa as lung cancer treatment,fda approv astrazeneca iressa lung cancer treatment,fda approv astrazeneca iressa lung cancer treatment
`` These developments partly reflect the government 's higher activity in the field of dividend policy . '',neutral,these develop partli reflect the govern s higher activ in the field of dividend polici,develop partli reflect govern higher activ field dividend polici,develop partli reflect govern higher activ field dividend polici
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,shuweihat got under way in juli when the project wa award to desalin and power contractor,shuweihat got way juli project wa award desalin power contractor,shuweihat got way juli project wa award desalin power contractor
"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",negative,tsla to recal model x suv for seat belt fix,tsla recal model x suv seat belt fix,tsla recal model x suv seat belt fix
Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,positive,ad cost now at bounc off of put oi s1 pivot moteltan bto aapl apr call for ride to ish,ad cost bounc put oi s1 pivot moteltan bto aapl apr call ride ish,ad cost bounc put oi s1 pivot moteltan bto aapl apr call ride ish
Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,neutral,ramir made kroon mln loss last year the year befor the compani wa kroon in the black,ramir made kroon mln loss last year year befor compani wa kroon black,ramir made kroon million loss last year year befor compani wa kroon black
"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .",positive,in the second quarter of the compani s net profit wa m compar to a net loss of m in april june,second quarter compani net profit wa compar net loss april june,second quarter compani net profit wa compar net loss april june
He will report to CapMan Plc 's CEO Heikki Westerlund .,neutral,he will report to capman plc s ceo heikki westerlund,report capman plc ceo heikki westerlund,report capman company ceo heikki westerlund
"More than 14,000 customers were left powerless .",negative,more than custom were left powerless,custom left powerless,custom left powerless
Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .,positive,oriola kd expect it invoic in to be higher than the compar invoic of,oriola kd expect invoic higher compar invoic,oriola kd expect invoic higher compar invoic
"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia .",neutral,water treatment product in australia today global research data servic is go to publish a market analysi about the market for chemic water treatment product in australia,water treatment product australia today global research data servic go publish market analysi market chemic water treatment product australia,water treatment product australia today global research data servic go publish market analysi market chemic water treatment product australia
"Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said .",positive,via the agreement ramir will expand the rang of equip and servic it deliv to destia ramir finland s manag director kari aulasmaa said,via agreement ramir expand rang equip servic deliv destia ramir finland manag director kari aulasmaa said,via agreement ramir expand rang equip servic deliv destia ramir finland manag director kari aulasmaa said
"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people .",neutral,found in finnair is one of the world s oldest airlin and fli to destin with a fleet of aircraft employ peopl,found finnair one world oldest airlin fli destin fleet aircraft employ peopl,found finnair one world oldest airlin fli destin fleet aircraft employ peopl
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,positive,oper profit improv by to er mn from mn in,oper profit improv er mn mn,oper profit improv er million million
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",neutral,the mall will be financ on a pariti basi by pearl plaza llc the joint ventur compani establish by the chines investor shanghai industri invest hold co ltd and srv group,mall financ pariti basi pearl plaza llc joint ventur compani establish chines investor shanghai industri invest hold co ltd srv group,mall financ pariti basi pearl plaza llc joint ventur compani establish chine investor shanghai industri invest hold company company srv group
The operating margin came down to 2.4 % from 5.7 % .,negative,the oper margin came down to from,oper margin came down,oper margin came down
"This truly takes efficiency to new heights , '' Mr. Metso adds .",positive,thi truli take effici to new height mr metso add,thi truli take effici new height mr metso add,thi truli take effici new height mr metso add
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",neutral,the compani report a profit of mln on the sale of it varesvuo partner sub group and a loss of caus by the sale of it program product subsidiari oy filmiteollisuu fine ab,compani report profit mln sale varesvuo partner sub group loss caus sale program product subsidiari oy filmiteollisuu fine ab,compani report profit million sale varesvuo partner sub group loss caus sale program product subsidiari oy filmiteollisuu fine ab
"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",positive,ace limit which ha a year dividend growth streak plan a dividend hike http stk co 1bue ace,ace limit ha year dividend growth streak plan dividend hike http stk co 1bue ace,ace limit ha year dividend growth streak plan dividend hike http stk company 1bue ace
"The other two sellers were the Finnish National Fund for R&D ( Sitra ) and Oras Invest Oy , which also sold half of their shareholdings , leaving them with 3.8 pct and 3.2 pct of the company respectively .",neutral,the other two seller were the finnish nation fund for r d sitra and ora invest oy which also sold half of their sharehold leav them with pct and pct of the compani respect,two seller finnish nation fund r sitra ora invest oy also sold half sharehold leav pct pct compani respect,two seller finnish nation fund r sitra os invest oy also sold half sharehold leav percent percent compani respect
"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services .",neutral,the firm s servic includ copi print cad model digit print scan sokopro project bank and courier servic,firm servic includ copi print cad model digit print scan sokopro project bank courier servic,firm servic includ copi print cad model digit print scan sokopro project bank courier servic
"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .",negative,when thi inform wa releas on septemb nokia s american depositari share fell by,thi inform wa releas septemb nokia american depositari share fell,thi inform wa releas septemb nokia american depositari share fell
"Our objective is to yield a significant part of our turnover in Russia in a couple of years , '' says Solteq 's Managing Director Hannu Ahola .",neutral,our object is to yield a signific part of our turnov in russia in a coupl of year say solteq s manag director hannu ahola,object yield signific part turnov russia coupl year say solteq manag director hannu ahola,object yield signific part turnov russia coupl year say solteq manag director hannu ahola
$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,positive,tsla gyrat s1 abov gap keep an eye on s2 http stk co jqfb,tsla gyrat s1 abov gap keep eye s2 http stk co jqfb,tsla gyrat s1 abov gap keep eye s2 http stk company jqfb
The statutory negotiations at headquarters are part of this decrease .,neutral,the statutori negoti at headquart are part of thi decreas,statutori negoti headquart part thi decreas,statutori negoti headquart part thi decreas
"In Finland , Alma Media will focus on quality and developing chain operations .",neutral,in finland alma media will focu on qualiti and develop chain oper,finland alma media focu qualiti develop chain oper,finland alma medium focu qualiti develop chain oper
"Last month , Outokumpu sold more than 80 percent of its technology unit , Outokumpu Technology Oyj , to further its strategic goal of becoming the world 's largest stainless steel maker .",positive,last month outokumpu sold more than percent of it technolog unit outokumpu technolog oyj to further it strateg goal of becom the world s largest stainless steel maker,last month outokumpu sold percent technolog unit outokumpu technolog oyj strateg goal becom world largest stainless steel maker,last month outokumpu sold percent technolog unit outokumpu technolog company strateg goal becom world largest stainless steel maker
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",neutral,in the fourth quarter of oko bank expect the oper environ for bank and invest servic to remain similar to that in januari septemb,fourth quarter oko bank expect oper environ bank invest servic remain similar januari septemb,fourth quarter oko bank expect oper environ bank invest servic remain similar januari septemb
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",neutral,auburn s sale in were cad approxim and the compani employ some peopl,auburn sale cad approxim compani employ peopl,auburn sale cad approxim compani employ peopl
"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .",positive,nevertheless fitch note that the busi fundament of the three bank current remain sound,nevertheless fitch note busi fundament three bank current remain sound,nevertheless fitch note busi fundament three bank current remain sound
"After piloting , the instrument will be further developed according to the experiences gained .",neutral,after pilot the instrument will be further develop accord to the experi gain,pilot instrument develop accord experi gain,pilot instrument develop accord experi gain
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",positive,gld http stk co jr8 daili chart though rsi and stoch point at a possibl move up there s a lot of resist,gld http stk co jr8 daili chart though rsi stoch point possibl move up lot resist,gld http stk company jr8 daili chart though rsi stoch point possibl move up lot resist
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral,poyri is a global consult and engin firm focus on the energi forest industri and infrastructur environ sector,poyri global consult engin firm focus energi forest industri infrastructur environ sector,poyri global consult engin firm focus energi forest industri infrastructur environ sector
"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",neutral,swedish telco teliasonera is team up with friend a swedish organ against bulli to fight bulli of children and teenag via electron channel,swedish telco teliasonera team up friend swedish organ bulli fight bulli children teenag via electron channel,swedish telco teliasonera team up friend swedish organ bulli fight bulli child teenag via electron channel
The duration of the contract is 37 months .,neutral,the durat of the contract is month,durat contract month,durat contract month
A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral,a meet of glisten sharehold to vote on the bid will be held on march,meet glisten sharehold vote bid held march,meet glisten sharehold vote bid held march
"Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe .",neutral,mercat will use the softwar for it logist retail and wholesal oper in slovenia and it other market in southeastern,mercat use softwar logist retail wholesal oper slovenia market southeastern,mercat use softwar logist retail wholesal oper slovenia market southeastern
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",negative,insur axa par cs slid by to after citigroup and ing slash their target on the stock,insur axa par cs slid citigroup ing slash target stock,insur axa par c slid citigroup ing slash target stock
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,rinkuskiai rais the sale by percent to liter while the sale of kauno alu grew by percent to liter,rinkuskiai rais sale percent liter sale kauno alu grew percent liter,rinkuskiai rais sale percent liter sale kauno alu grew percent liter
No changes in media activity were seen in October compared with September .,neutral,no chang in media activ were seen in octob compar with septemb,chang media activ seen octob compar septemb,chang medium activ seen octob compar septemb
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,neutral,orion s net profit for the third quarter of decreas to mln mln from mln mln a year earlier,orion net profit third quarter decreas mln mln mln mln year earlier,orion net profit third quarter decreas million million million million year earlier
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",negative,sampo bank s market share of lend wa down from in the first quarter of,sampo bank market share lend wa down first quarter,sampo bank market share lend wa down first quarter
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .,neutral,in juli it and quadriga capit sold their lewa gmbh pump make busi to japan s nikkiso co,juli quadriga capit sold lewa gmbh pump make busi japan nikkiso co,juli quadriga capit sold lewa gmbh pump make busi japan nikkiso company
"The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava .",neutral,the largest construct compani in finland yit corpor is to acquir of the share in the slovak construct compani rede bratislava,largest construct compani finland yit corpor acquir share slovak construct compani rede bratislava,largest construct compani finland yit corpor acquir share slovak construct compani rede bratislava
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",neutral,in total more than surveil camera will be handl and manag accord to a varieti of need the compani said,total surveil camera handl manag accord varieti need compani said,total surveil camera handl manag accord varieti need compani said
"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",neutral,sukhraj dulai of the block of boni sue court a cul de sac on the citi s north side start the vehicl and went insid hi hous about a m tuesday leav the garag door open,sukhraj dulai block boni sue court cul de sac citi north side start vehicl went insid hi hous tuesday leav garag door open,sukhraj dulai block boni sue court cul de sac citi north side start vehicl went insid hi hous tuesday leav garag door open
The enterprise value of Maritim Food AS has been determined as approximately EUR15m .,neutral,the enterpris valu of maritim food as ha been determin as approxim,enterpris valu maritim food ha determin approxim,enterpris valu maritim food ha determin approxim
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,positive,facebook fb receiv a buy rate from well fargo star analyst peter stabler well fargo t co jnb4c9vdcu,facebook fb receiv buy rate well fargo star analyst peter stabler well fargo co jnb4c9vdcu,facebook fb receiv buy rate well fargo star analyst peter stabler well fargo company jnb4c9vdcu
"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",neutral,in april june scanfil s net sale total mn and oper profit mn,april june scanfil net sale total mn oper profit mn,april june scanfil net sale total million oper profit million
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",positive,aldi and lidl expans plan speed ahead as tesco sainsburi s morrison,aldi lidl expans plan speed ahead tesco sainsburi morrison,aldi lidl expans plan speed ahead tesco sainsburi morrison
"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .",neutral,the paper industri s de ink sludg which is produc in mill that use recycl fiber when print ink is remov from recov paper is also a suitabl raw materi,paper industri de ink sludg produc mill use recycl fiber print ink remov recov paper also suitabl raw materi,paper industri de ink sludg produc mill use recycl fiber print ink remov recov paper also suitabl raw materi
$RSOL bought 3500 shares today!,positive,rsol bought share today,rsol bought share today,rsol bought share today
$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,positive,xli potenti intermedi top in an uptrend on a chart http stk co j1tdf,xli potenti intermedi top uptrend chart http stk co j1tdf,xli potenti intermedi top uptrend chart http stk company j1tdf
Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .,neutral,mr kari stadigh will carri on as chairman of the board and mr matti arteva as vice chairman,mr kari stadigh carri chairman board mr matti arteva vice chairman,mr kari stadigh carri chairman board mr matti arteva vice chairman
"The total value of the order , placed by Aspo ' marine transportation subsidiary ESL Shipping Oy , is EUR 60 million ( USD 77.5 m ) .",neutral,the total valu of the order place by aspo marin transport subsidiari esl ship oy is m,total valu order place aspo marin transport subsidiari esl ship oy,total valu order place aspo marin transport subsidiari esl ship oy
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,neutral,oper loss total mn compar to a profit of mn in the correspond period in,oper loss total mn compar profit mn correspond period,oper loss total million compar profit million correspond period
One attractive factor about the tablets for media companies is that they provide a new way of making money .,positive,one attract factor about the tablet for media compani is that they provid a new way of make money,one attract factor tablet media compani provid new way make money,one attract factor tablet medium compani provid new way make money
"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .",positive,raisio s bid to buy glisten is a win win deal for both compani the chairman of the uk snack firm told just food today februari,raisio bid buy glisten win win deal compani chairman uk snack firm told food today februari,raisio bid buy glisten win win deal compani chairman uk snack firm told food today februari
The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,positive,the parti have agre to negoti definit distribut and licens agreement by the end of june,parti agre negoti definit distribut licens agreement end june,parti agre negoti definit distribut licens agreement end june
Status : Agreed,neutral,statu agre,statu agre,statu agre
long $AAPL 107 calls @ .40,positive,long aapl call,long aapl call,long aapl call
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .",neutral,the broad base wig index end thursday s session pct up at pt while the blue chip wig20 wa down at pt,broad base wig index end thursday session pct up pt blue chip wig20 wa down pt,broad base wig index end thursday session percent up pt blue chip wig20 wa down pt
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,negative,tesla issu it first model x recal t co t1kmqvwhqq tsla,tesla issu first model x recal co t1kmqvwhqq tsla,tesla issu first model x recal company t1kmqvwhqq tsla
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,positive,refil updat britain s lloyd to pay first dividend sinc rescu,refil updat britain lloyd pay first dividend sinc rescu,refil updat britain lloyd pay first dividend sinc rescu
what is up with $HK..... from Jan to now it's been a sinking ship...,negative,what is up with hk from jan to now it s been a sink ship,up hk jan sink ship,up hk jan sink ship
"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",neutral,finnish properti investor sponda said it ha agre a mln five year mln credit facil with swedbank and a mln seven year facil with oko bank,finnish properti investor sponda said ha agre mln five year mln credit facil swedbank mln seven year facil oko bank,finnish properti investor sponda said ha agre million five year million credit facil swedbank million seven year facil oko bank
The deliveries started in April 2006 and will be completed in 2007 .,neutral,the deliveri start in april and will be complet in,deliveri start april complet,deliveri start april complet
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",neutral,the new system which will includ mc3090 pda from motorola to be use by poundstretch oper across shift will integr in real time with the compani s exist warehous manag system aldata g o l d stock which went live in may,new system includ mc3090 pda motorola use poundstretch oper across shift integr real time compani exist warehous manag system aldata g l stock went live may,new system includ mc3090 pda motorola use poundstretch oper across shift integr real time compani exist warehous manag system aldata g l stock went live may
"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",positive,for telest the acquisit mark an entri into servic busi in a market where it ha long been an establish and signific supplier of product,telest acquisit mark entri servic busi market ha long establish signific supplier product,telest acquisit mark entri servic busi market ha long establish signific supplier product
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,neutral,march a leakag in the gypsum pond wa detect today at the talvivaara mine,march leakag gypsum pond wa detect today talvivaara mine,march leakag gypsum pond wa detect today talvivaara mine
FTSE edges up as investors cheer Kingfisher results,positive,ftse edg up as investor cheer kingfish result,ftse edg up investor cheer kingfish result,ftse edg up investor cheer kingfish result
Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,neutral,pohjola will act as the manag of the issu and the bond will be list on nasdaq omx helsinki ltd,pohjola act manag issu bond list nasdaq omx helsinki ltd,pohjola act manag issu bond list nasdaq omx helsinki company
Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,negative,starbuck share down as much as sbux t co jlgrprr54k,starbuck share down much sbux co jlgrprr54k,starbuck share down much sbux company jlgrprr54k
Finnish beverage company Olvi is one of the last listed companies in Finland that has not yet published its financial result for the second quarter of 2009 .,neutral,finnish beverag compani olvi is one of the last list compani in finland that ha not yet publish it financi result for the second quarter of,finnish beverag compani olvi one last list compani finland ha yet publish financi result second quarter,finnish beverag compani olvi one last list compani finland ha yet publish financi result second quarter
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral,other measur includ increas synergi and economi of scale within the grimaldi group and personnel adjust divest and redeliveri of excess tonnag,measur includ increas synergi economi scale within grimaldi group personnel adjust divest redeliveri excess tonnag,measur includ increas synergi economi scale within grimaldi group personnel adjust divest redeliveri excess tonnag
"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",neutral,huhtamaki s rigid plastic consum good oper which are mainli in will be separ into a new report segment as of januari,huhtamaki rigid plastic consum good oper mainli separ new report segment januari,huhtamaki rigid plastic consum good oper mainli separ new report segment januari
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,negative,standard charter s share plung after fitch downgrad,standard charter share plung fitch downgrad,standard charter share plung fitch downgrad
"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .",neutral,with five differ game mode co op tournament player split screen and multiplay mode player can have as much fun as they would if they were actual fish,five differ game mode co op tournament player split screen multiplay mode player much fun would actual fish,five differ game mode company op tournament player split screen multiplay mode player much fun would actual fish
GlaxoSmithKline starts hunt for successor to CEO Witty,neutral,glaxosmithklin start hunt for successor to ceo witti,glaxosmithklin start hunt successor ceo witti,glaxosmithklin start hunt successor ceo witti
"`` My wife is looking forward to getting a paycheck again , '' he quipped recently as a six-knot current swirled around his anchored and heavily sponsored jet sled .",neutral,my wife is look forward to get a paycheck again he quip recent as a six knot current swirl around hi anchor and heavili sponsor jet sled,wife look forward get paycheck quip recent six knot current swirl around hi anchor heavili sponsor jet sled,wife look forward get paycheck quip recent six knot current swirl around hi anchor heavili sponsor jet sled
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,negative,london stock exchang deutsch boers merger under threat from brexit,london stock exchang deutsch boers merger threat brexit,london stock exchang deutsch boer merger threat brexit
"After the transaction , Herttaassa 's holding in Alma Media has fallen below the flagging limit of 5 % .",neutral,after the transact herttaassa s hold in alma media ha fallen below the flag limit of,transact herttaassa hold alma media ha fallen flag limit,transact herttaassa hold alma medium ha fallen flag limit
The company specialises in temporary electrification and heating at construction sites .,neutral,the compani specialis in temporari electrif and heat at construct site,compani specialis temporari electrif heat construct site,compani specialis temporari electrif heat construct site
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,positive,the dilut loss per share narrow to from,dilut loss per share narrow,dilut loss per share narrow
"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .",neutral,the gross area of the innova project will be about sq m sq ft,gross area innova project sq sq ft,gross area innova project sq sq ft
"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar .",neutral,of cours we are in talk with all those come up with new project that involv materi handl konecran presid and ceo pekka lundmark said when ask whether it wa talk to relianc industri for suppli equip to it upcom refineri in jamnagar,cours talk come up new project involv materi handl konecran presid ceo pekka lundmark said ask whether wa talk relianc industri suppli equip upcom refineri jamnagar,cours talk come up new project involv materi handl konecran presid ceo pekka lundmark said ask whether wa talk relianc industri suppli equip upcom refineri jamnagar
"We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision .",neutral,we offer our client integr manag consult total solut for complex project and effici best in class design and supervis,offer client integr manag consult total solut complex project effici best class design supervis,offer client integr manag consult total solut complex project effici best class design supervis
The results will enable the preparation of a conceptual plant design and capital estimates .,neutral,the result will enabl the prepar of a conceptu plant design and capit estim,result enabl prepar conceptu plant design capit estim,result enabl prepar conceptu plant design capit estim
$MA http://stks.co/1CYN continues to consolidate / base here,positive,ma http stk co 1cyn continu to consolid base here,http stk co 1cyn continu consolid base,http stk company 1cyn continu consolid base
The company did not distribute a dividend in 2005 .,neutral,the compani did not distribut a dividend in,compani distribut dividend,compani distribut dividend
"The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m .",neutral,the total invest in the compani will be of which wartsila s share will be,total invest compani wartsila share,total invest compani wartsila share
The project is expected to be completed in 2009 .,neutral,the project is expect to be complet in,project expect complet,project expect complet
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",neutral,in the czech republ the smaller profil unit at ostrava will be close and the machineri will be gradual reloc to ruukki s bigger plant in hungari poland and romania by the end of the first quarter of,czech republ smaller profil unit ostrava close machineri gradual reloc ruukki bigger plant hungari poland romania end first quarter,czech republ smaller profil unit ostrava close machineri gradual reloc ruukki bigger plant hungari poland romania end first quarter
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 .,negative,the group s order portfolio decreas from mn in to mn in,group order portfolio decreas mn mn,group order portfolio decreas million million
"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies .",neutral,the studi is expect to provid proof of pharmacodynam activ in human corrobor the safeti profil and establish dose rang for further therapeut studi,studi expect provid proof pharmacodynam activ human corrobor safeti profil establish dose rang therapeut studi,studi expect provid proof pharmacodynam activ human corrobor safeti profil establish dose rang therapeut studi
$KITD Looking for a oversold bounce.,positive,kitd look for a oversold bounc,kitd look oversold bounc,kitd look oversold bounc
